epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4721,1.36622,2.66872,1.816,0.00333,1,0.24793,0.08951,2.01344,4.54214,2.39697,0.00018,0.00018,0.00018
2,59.3241,1.15883,1.92668,1.5809,0.00333,1,0.5424,0.13432,2.04423,3.67602,2.75229,0.000376238,0.000376238,0.000376238
3,88.3776,1.03623,1.6551,1.46471,0.00333,1,0.42085,0.25465,1.60244,3.74101,2.1276,0.000568516,0.000568516,0.000568516
4,117.606,0.97599,1.46465,1.41508,0.00278,0.83333,0.54142,0.14854,2.29654,3.82896,2.90685,0.000756834,0.000756834,0.000756834
5,146.653,0.97284,1.47168,1.4385,0.42655,0.16667,0.25657,0.14179,2.32925,3.90935,3.33583,0.000941192,0.000941192,0.000941192
6,175.656,1.07999,1.55735,1.48616,0.95987,0.5,0.60871,0.25336,1.97668,3.20343,3.11257,0.00112159,0.00112159,0.00112159
7,205.062,1.08086,1.50565,1.52457,0.44696,0.16667,0.14981,0.03832,3.75469,4.64798,4.7031,0.00129803,0.00129803,0.00129803
8,233.934,1.03052,1.40283,1.44314,0.49477,0.49129,0.37571,0.17812,2.23408,4.14792,3.76302,0.00147051,0.00147051,0.00147051
9,262.851,1.05819,1.38997,1.46297,0.89694,0.33333,0.37668,0.15034,2.53554,3.83344,3.66363,0.00163902,0.00163902,0.00163902
10,291.887,1.06174,1.36482,1.52523,0.47123,0.33333,0.37981,0.2102,2.22882,5.7872,4.13898,0.00180358,0.00180358,0.00180358
11,321.321,1.18416,1.44347,1.55234,0.83323,0.33333,0.39991,0.11731,3.06162,3.92894,4.92432,0.001802,0.001802,0.001802
12,350.283,1.06943,1.33472,1.4645,0.56213,0.5,0.45531,0.1552,2.6607,2.90626,3.41493,0.0017822,0.0017822,0.0017822
13,378.951,1.02273,1.2192,1.44962,0.54375,0.5,0.49537,0.3698,1.9503,2.60586,2.97348,0.0017624,0.0017624,0.0017624
14,407.844,1.00262,1.17885,1.40321,0.62072,0.33333,0.28984,0.11202,1.96936,3.48986,3.50075,0.0017426,0.0017426,0.0017426
15,436.599,1.02463,1.13878,1.44027,0.88196,0.33333,0.43642,0.27742,1.5272,2.5746,2.5727,0.0017228,0.0017228,0.0017228
16,465.509,0.96447,1.05816,1.38256,0.96729,0.5,0.56233,0.36995,2.1008,2.31946,3.15702,0.001703,0.001703,0.001703
17,494.222,0.93739,1.07803,1.39305,0.78191,0.5,0.49548,0.37167,1.85396,2.77353,3.46689,0.0016832,0.0016832,0.0016832
18,523.371,0.98648,1.07838,1.39865,0.58635,0.33333,0.36921,0.13391,2.61172,3.20214,3.18257,0.0016634,0.0016634,0.0016634
19,552.065,0.9525,1.07795,1.43481,0.72294,0.5,0.442,0.30307,2.05922,2.40768,4.23403,0.0016436,0.0016436,0.0016436
20,581.037,0.92866,1.05595,1.35175,0.16116,0.5,0.1598,0.10476,2.19173,5.39292,3.17075,0.0016238,0.0016238,0.0016238
21,610.115,0.93369,1.02727,1.35663,0.58339,0.33333,0.28951,0.19249,2.36476,3.38758,2.54083,0.001604,0.001604,0.001604
22,639.048,0.87265,0.91304,1.28481,0.20248,0.16667,0.08708,0.02888,2.57626,3.18249,2.65405,0.0015842,0.0015842,0.0015842
23,668.031,0.88968,0.91358,1.3386,0.4351,0.5,0.39995,0.19271,1.72062,2.60699,2.37467,0.0015644,0.0015644,0.0015644
24,696.696,0.91915,0.95513,1.35646,0.94382,0.66667,0.85125,0.5181,1.36299,2.22772,2.0297,0.0015446,0.0015446,0.0015446
25,725.47,0.87276,0.88916,1.33375,0.57207,0.89526,0.829,0.58385,1.00099,1.71691,1.64506,0.0015248,0.0015248,0.0015248
26,754.415,0.85206,0.92416,1.30018,1,0.66457,0.845,0.53923,1.20704,1.4033,2.02385,0.001505,0.001505,0.001505
27,783.217,0.81638,0.86049,1.29552,0.67681,0.83333,0.82483,0.33866,1.64052,1.90041,2.14334,0.0014852,0.0014852,0.0014852
28,811.869,0.86319,0.85448,1.29906,0.82958,0.5,0.69367,0.44893,1.3153,2.63897,1.93043,0.0014654,0.0014654,0.0014654
29,840.683,0.80731,0.81004,1.2714,0.94427,0.83333,0.94167,0.55744,1.29008,1.75654,1.7576,0.0014456,0.0014456,0.0014456
30,869.699,0.79208,0.77585,1.23176,0.6288,0.66667,0.72762,0.46944,1.38893,1.66752,1.95763,0.0014258,0.0014258,0.0014258
31,898.595,0.78763,0.8251,1.28024,0.96359,0.83333,0.97214,0.64654,1.08372,1.15761,1.54471,0.001406,0.001406,0.001406
32,927.329,0.76485,0.82212,1.26183,0.99042,1,0.995,0.74652,0.83122,0.98186,1.38928,0.0013862,0.0013862,0.0013862
33,956.036,0.75097,0.77042,1.23193,0.97695,0.83333,0.97214,0.59699,1.01981,0.92798,1.56521,0.0013664,0.0013664,0.0013664
34,985.276,0.73338,0.74923,1.20963,0.94432,0.66667,0.83982,0.55447,1.27635,1.27753,2.08331,0.0013466,0.0013466,0.0013466
35,1014.33,0.74768,0.77823,1.26375,1,0.65084,0.78649,0.47235,1.39808,1.72367,2.13743,0.0013268,0.0013268,0.0013268
36,1043.32,0.79135,0.76978,1.25279,0.84872,1,0.995,0.73603,1.05893,1.03792,1.57612,0.001307,0.001307,0.001307
37,1071.97,0.74638,0.73274,1.24543,0.98545,1,0.995,0.65087,1.12225,1.03609,1.78905,0.0012872,0.0012872,0.0012872
38,1100.83,0.73729,0.73418,1.21372,1,0.96542,0.995,0.65323,1.12042,1.14547,1.71696,0.0012674,0.0012674,0.0012674
39,1129.72,0.74158,0.70732,1.19864,0.97449,0.5,0.66771,0.46557,1.30114,1.39005,1.86557,0.0012476,0.0012476,0.0012476
40,1158.67,0.6834,0.66872,1.18638,0.95493,0.5,0.65927,0.40964,1.36024,1.24506,1.92298,0.0012278,0.0012278,0.0012278
41,1187.53,0.72788,0.71762,1.25664,1,0.82644,0.97214,0.705,1.07723,1.03877,1.60277,0.001208,0.001208,0.001208
42,1216.57,0.64374,0.63474,1.19073,0.8146,0.83333,0.92667,0.68877,0.96945,0.96755,1.53582,0.0011882,0.0011882,0.0011882
43,1245.23,0.67842,0.67104,1.17917,0.97394,0.83333,0.955,0.37232,1.62252,1.20965,1.93909,0.0011684,0.0011684,0.0011684
44,1274.21,0.64466,0.61336,1.16671,0.85367,0.97571,0.94786,0.65697,1.21661,0.98041,1.73244,0.0011486,0.0011486,0.0011486
45,1303.15,0.58763,0.57613,1.11347,0.98522,0.83333,0.955,0.69243,1.11973,0.80138,1.77087,0.0011288,0.0011288,0.0011288
46,1332.04,0.64828,0.61545,1.16424,0.67324,0.83333,0.7254,0.42348,1.6927,1.15465,2.45417,0.001109,0.001109,0.001109
47,1361.1,0.63289,0.59969,1.1505,0.619,0.83333,0.67736,0.40581,1.9245,1.15417,2.84284,0.0010892,0.0010892,0.0010892
48,1390.2,0.62244,0.59123,1.14522,0.85481,1,0.995,0.7507,1.04446,0.67113,1.88001,0.0010694,0.0010694,0.0010694
49,1419.06,0.6377,0.61507,1.1515,0.9709,1,0.995,0.81681,0.56044,0.7864,1.21407,0.0010496,0.0010496,0.0010496
50,1447.97,0.62672,0.61494,1.14942,0.99117,1,0.995,0.69161,0.91854,0.60177,1.45829,0.0010298,0.0010298,0.0010298
51,1476.91,0.59194,0.54018,1.12312,0.95765,1,0.995,0.83457,0.62598,0.59971,1.22358,0.00101,0.00101,0.00101
52,1506,0.64364,0.59234,1.14982,0.97286,1,0.995,0.79134,0.80567,0.68574,1.49347,0.0009902,0.0009902,0.0009902
53,1534.93,0.59473,0.59549,1.12913,0.98958,1,0.995,0.58692,1.01376,0.68994,1.58561,0.0009704,0.0009704,0.0009704
54,1564.23,0.57638,0.56663,1.11853,0.98823,1,0.995,0.72728,0.91029,0.61192,1.51075,0.0009506,0.0009506,0.0009506
55,1593.01,0.57718,0.52657,1.09693,0.9865,1,0.995,0.84052,0.66797,0.77451,1.2254,0.0009308,0.0009308,0.0009308
56,1621.96,0.55406,0.53529,1.1004,0.98467,1,0.995,0.73901,0.88902,0.90702,1.47,0.000911,0.000911,0.000911
57,1650.64,0.56432,0.53465,1.11754,0.98207,1,0.995,0.66249,1.1478,0.66106,2.02369,0.0008912,0.0008912,0.0008912
58,1679.89,0.5654,0.55851,1.11831,0.99409,1,0.995,0.68299,1.12771,0.6625,2.01568,0.0008714,0.0008714,0.0008714
59,1708.6,0.59596,0.58872,1.13488,0.77189,0.83333,0.78937,0.5822,0.94545,0.98122,1.68172,0.0008516,0.0008516,0.0008516
60,1737.73,0.56527,0.57547,1.10601,1,0.98584,0.995,0.88309,0.5828,0.56715,1.24291,0.0008318,0.0008318,0.0008318
61,1766.72,0.51916,0.5075,1.06567,1,0.99751,0.995,0.84156,0.65671,0.66662,1.29416,0.000812,0.000812,0.000812
62,1795.84,0.59555,0.55888,1.10207,1,0.99642,0.995,0.79667,0.78345,0.57628,1.52103,0.0007922,0.0007922,0.0007922
63,1824.63,0.53983,0.55426,1.12982,1,0.9928,0.995,0.76286,0.70725,0.57729,1.45152,0.0007724,0.0007724,0.0007724
64,1857.82,0.54569,0.54115,1.10726,1,0.98934,0.995,0.69971,0.85165,0.62242,1.58063,0.0007526,0.0007526,0.0007526
65,1893.8,0.5223,0.50102,1.10997,1,0.99028,0.995,0.74215,0.77956,0.60921,1.46266,0.0007328,0.0007328,0.0007328
66,1930.04,0.49867,0.47013,1.09066,0.99368,1,0.995,0.85159,0.67016,0.48149,1.2663,0.000713,0.000713,0.000713
67,1966.27,0.51957,0.46658,1.09116,0.98936,1,0.995,0.84696,0.63119,0.44244,1.24154,0.0006932,0.0006932,0.0006932
68,1994.75,0.50515,0.50336,1.06903,0.98817,1,0.995,0.92517,0.49747,0.40124,1.12486,0.0006734,0.0006734,0.0006734
69,2020.9,0.49073,0.45829,1.05832,0.98816,1,0.995,0.8654,0.58296,0.41723,1.27501,0.0006536,0.0006536,0.0006536
70,2047.06,0.49801,0.46642,1.06896,0.99149,1,0.995,0.90004,0.55596,0.47752,1.22714,0.0006338,0.0006338,0.0006338
71,2073.22,0.47792,0.47559,1.05668,0.99201,1,0.995,0.95707,0.41716,0.41105,1.06089,0.000614,0.000614,0.000614
72,2099.51,0.49476,0.48976,1.06066,0.99195,1,0.995,0.9195,0.44356,0.33924,1.10958,0.0005942,0.0005942,0.0005942
73,2125.45,0.45431,0.44176,1.05812,0.99122,1,0.995,0.91944,0.46146,0.39846,1.12939,0.0005744,0.0005744,0.0005744
74,2150.8,0.46817,0.44271,1.05249,0.9875,1,0.995,0.85157,0.66317,0.59345,1.29181,0.0005546,0.0005546,0.0005546
75,2176.24,0.46384,0.44052,1.04034,0.98202,1,0.995,0.83243,0.57242,0.49452,1.28755,0.0005348,0.0005348,0.0005348
76,2201.35,0.48195,0.45373,1.08342,0.98706,1,0.995,0.81749,0.54644,0.5003,1.21639,0.000515,0.000515,0.000515
77,2226.56,0.45491,0.42838,1.06044,0.99201,1,0.995,0.84318,0.55814,0.39733,1.32946,0.0004952,0.0004952,0.0004952
78,2251.88,0.46886,0.46737,1.05843,0.99195,1,0.995,0.88756,0.51768,0.4082,1.21218,0.0004754,0.0004754,0.0004754
79,2277.89,0.4535,0.44005,1.07267,0.99198,1,0.995,0.89694,0.4321,0.37243,1.06106,0.0004556,0.0004556,0.0004556
80,2303.11,0.44425,0.45601,1.04141,0.99106,1,0.995,0.85609,0.47696,0.4233,1.11477,0.0004358,0.0004358,0.0004358
81,2328.63,0.42967,0.39862,1.01182,0.98198,1,0.995,0.87403,0.53351,0.42735,1.21152,0.000416,0.000416,0.000416
82,2354.33,0.41622,0.40005,1.02374,0.99201,1,0.995,0.91935,0.43493,0.34264,1.06441,0.0003962,0.0003962,0.0003962
83,2379.57,0.40787,0.40619,1.01964,0.99213,1,0.995,0.9463,0.39941,0.33343,1.02458,0.0003764,0.0003764,0.0003764
84,2404.93,0.43458,0.42654,1.02325,0.99216,1,0.995,0.89795,0.48276,0.34902,1.09546,0.0003566,0.0003566,0.0003566
85,2430.12,0.41049,0.41871,1.01416,0.99213,1,0.995,0.87247,0.47767,0.38122,1.10251,0.0003368,0.0003368,0.0003368
86,2455.39,0.41037,0.41162,1.01609,0.99206,1,0.995,0.88623,0.46306,0.44709,1.1258,0.000317,0.000317,0.000317
87,2480.6,0.40897,0.39972,1.02045,0.9922,1,0.995,0.86665,0.48081,0.42551,1.14292,0.0002972,0.0002972,0.0002972
88,2505.53,0.36529,0.39498,1.00521,0.98784,1,0.995,0.83925,0.53528,0.39434,1.21991,0.0002774,0.0002774,0.0002774
89,2530.78,0.3908,0.38189,1.02652,0.98818,1,0.995,0.84436,0.58092,0.39775,1.32853,0.0002576,0.0002576,0.0002576
90,2555.99,0.36992,0.37411,1.00498,0.99152,1,0.995,0.84852,0.5581,0.38976,1.23878,0.0002378,0.0002378,0.0002378
91,2580.87,0.30189,0.35508,0.99883,0.99205,1,0.995,0.87674,0.486,0.41041,1.09819,0.000218,0.000218,0.000218
