epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2776,1.36138,2.45007,1.7911,0.00333,1,0.28091,0.17221,2.62206,4.0756,3.32274,0.0003,0.0003,0.0003
2,97.2356,1.1126,1.79671,1.55438,0.00056,0.16667,0.00072,0.00014,4.42265,6.37987,4.52348,0.000613862,0.000613862,0.000613862
3,145.579,1.10928,1.64128,1.5424,1,0.49957,0.53032,0.12625,2.0767,3.31235,3.02669,0.000921388,0.000921388,0.000921388
4,196.042,1.13333,1.63577,1.58716,0.7453,0.66667,0.62013,0.34774,1.71933,2.8735,3.00035,0.00122258,0.00122258,0.00122258
5,245.645,1.10537,1.48139,1.52662,0.52359,0.5,0.49478,0.14987,1.73215,3.65159,3.23374,0.00151743,0.00151743,0.00151743
6,292.759,1.09941,1.46854,1.53739,0.28452,0.33333,0.2532,0.07854,2.17858,4.7551,3.42611,0.00180595,0.00180595,0.00180595
7,339.532,1.17493,1.40845,1.56515,0.63878,0.66667,0.483,0.17163,2.06374,4.3457,3.26907,0.0018812,0.0018812,0.0018812
8,386.469,1.17448,1.37429,1.56484,0.7045,0.40899,0.5893,0.12941,2.50875,5.68613,4.41012,0.0018614,0.0018614,0.0018614
9,433.43,1.04677,1.26189,1.45222,0.32118,0.5,0.28489,0.14951,1.51236,5.41666,2.19279,0.0018416,0.0018416,0.0018416
10,480.044,1.03542,1.18218,1.45465,0.42502,0.5,0.34685,0.07814,2.49429,2.71616,3.48069,0.0018218,0.0018218,0.0018218
11,527.935,1.03905,1.14128,1.46844,0.95965,0.5,0.6062,0.4471,1.54868,1.70598,2.26287,0.001802,0.001802,0.001802
12,575.064,1.05267,1.12178,1.48853,0.69473,0.5,0.44153,0.29659,2.07058,2.33111,3.07303,0.0017822,0.0017822,0.0017822
13,621.686,1.05978,1.17812,1.46814,0.40461,0.5,0.31738,0.12676,2.12047,3.48572,2.95423,0.0017624,0.0017624,0.0017624
14,668.339,0.96054,1.08428,1.43041,0.00393,0.66667,0.00835,0.00198,3.207,4.65861,3.86193,0.0017426,0.0017426,0.0017426
15,715.155,0.97264,1.08141,1.40064,1,0.46463,0.51308,0.29853,2.10277,2.12587,2.89851,0.0017228,0.0017228,0.0017228
16,761.689,0.90954,0.96309,1.36475,1,0.46455,0.58238,0.25796,1.80652,2.18061,2.43594,0.001703,0.001703,0.001703
17,808.609,0.92546,0.94374,1.37192,1,0.65635,0.70945,0.38345,1.35216,2.29518,1.83593,0.0016832,0.0016832,0.0016832
18,855.594,0.94085,0.95215,1.37702,0.789,0.63,0.69144,0.30574,1.38861,2.53781,2.04827,0.0016634,0.0016634,0.0016634
19,902.244,0.98234,0.92629,1.42336,1,0.63482,0.80681,0.6496,0.85044,1.40229,1.46286,0.0016436,0.0016436,0.0016436
20,948.969,0.93976,0.93654,1.3977,0.699,0.39799,0.466,0.33364,1.92636,2.59278,2.52875,0.0016238,0.0016238,0.0016238
21,996.609,0.85935,0.91912,1.33112,0.79254,0.64181,0.73453,0.47859,1.2182,1.60502,1.72568,0.001604,0.001604,0.001604
22,1042.41,0.87446,0.88269,1.34822,0.97729,0.66667,0.80643,0.58219,0.97284,1.18426,1.65631,0.0015842,0.0015842,0.0015842
23,1086.27,0.85504,0.84035,1.33581,1,0.63052,0.73459,0.48225,1.09501,1.28461,1.70567,0.0015644,0.0015644,0.0015644
24,1129.35,0.87426,0.84317,1.33201,0.94301,0.5,0.75078,0.47405,1.39356,1.37106,2.03737,0.0015446,0.0015446,0.0015446
25,1171.87,0.7695,0.76533,1.25434,1,0.63398,0.70357,0.45295,1.44557,1.92177,1.95068,0.0015248,0.0015248,0.0015248
26,1215.38,0.79935,0.76347,1.29388,0.68833,0.83333,0.78671,0.4523,1.50197,1.58661,2.16344,0.001505,0.001505,0.001505
27,1258.05,0.75361,0.74096,1.2467,0.97109,0.5,0.70861,0.39485,1.64354,1.61127,2.30681,0.0014852,0.0014852,0.0014852
28,1300.8,0.78412,0.72616,1.26357,0.7635,0.66667,0.76172,0.36019,1.61953,1.69922,2.06332,0.0014654,0.0014654,0.0014654
29,1344.28,0.74472,0.72445,1.263,1,0.82013,0.94167,0.52556,1.67538,1.16023,2.08976,0.0014456,0.0014456,0.0014456
30,1392.05,0.74873,0.71866,1.23337,0.95286,0.66667,0.88243,0.39405,1.63882,1.41604,2.16191,0.0014258,0.0014258,0.0014258
31,1440.86,0.7404,0.69934,1.25261,0.70242,0.83333,0.8397,0.55147,1.33451,1.21221,1.77619,0.001406,0.001406,0.001406
32,1488.04,0.72636,0.70245,1.21159,1,0.63808,0.77324,0.53668,1.1428,1.43861,1.65518,0.0013862,0.0013862,0.0013862
33,1534.99,0.73138,0.68036,1.22317,0.96429,0.83333,0.92227,0.59164,1.01114,1.25603,1.47858,0.0013664,0.0013664,0.0013664
34,1582.16,0.70206,0.66088,1.19983,0.96579,1,0.995,0.663,0.65046,1.14633,1.25678,0.0013466,0.0013466,0.0013466
35,1628.01,0.7555,0.69245,1.26202,1,0.82499,0.931,0.49723,1.15314,1.11402,1.77484,0.0013268,0.0013268,0.0013268
36,1673.52,0.70425,0.6508,1.21956,0.76828,0.66667,0.7171,0.56934,0.8016,1.19951,1.5041,0.001307,0.001307,0.001307
37,1719.09,0.66876,0.61882,1.21186,0.9623,1,0.995,0.76408,0.84669,0.60884,1.54413,0.0012872,0.0012872,0.0012872
38,1764.54,0.66595,0.6314,1.18157,0.84652,1,0.94786,0.68859,1.01081,0.7174,1.81505,0.0012674,0.0012674,0.0012674
39,1809.2,0.67761,0.61382,1.22079,0.83047,1,0.94786,0.56698,1.24972,1.00669,1.90234,0.0012476,0.0012476,0.0012476
40,1853.48,0.64536,0.59987,1.1619,1,0.99945,0.995,0.60093,1.13303,0.82805,1.61055,0.0012278,0.0012278,0.0012278
41,1897.97,0.62932,0.61381,1.1669,0.87114,1,0.995,0.7959,0.79408,0.66711,1.35192,0.001208,0.001208,0.001208
42,1942.26,0.58643,0.57147,1.14623,0.98123,1,0.995,0.79971,0.77691,0.59142,1.41438,0.0011882,0.0011882,0.0011882
43,1986.71,0.61767,0.56257,1.16634,0.98981,1,0.995,0.63534,1.05939,0.80422,1.49283,0.0011684,0.0011684,0.0011684
44,2037.05,0.61439,0.57656,1.17126,0.81506,0.83333,0.91333,0.70116,0.94845,0.93207,1.39408,0.0011486,0.0011486,0.0011486
45,2083.81,0.626,0.57641,1.17489,0.998,1,0.995,0.74414,0.77623,0.66536,1.35307,0.0011288,0.0011288,0.0011288
46,2131.67,0.64373,0.56928,1.18129,0.97397,1,0.995,0.84156,0.62528,0.57984,1.21401,0.001109,0.001109,0.001109
47,2178.14,0.62126,0.57542,1.14793,1,0.93561,0.995,0.84209,0.68915,0.67092,1.30752,0.0010892,0.0010892,0.0010892
48,2225.11,0.62678,0.56595,1.14687,1,0.81928,0.97214,0.83159,0.64029,0.60886,1.26355,0.0010694,0.0010694,0.0010694
49,2276.62,0.59804,0.53352,1.1783,0.85685,0.99795,0.97214,0.79152,0.74169,0.58946,1.51758,0.0010496,0.0010496,0.0010496
50,2323.89,0.61732,0.56325,1.15732,0.84508,1,0.94786,0.6581,0.81412,0.87015,1.55275,0.0010298,0.0010298,0.0010298
51,2371.35,0.57766,0.54036,1.12145,0.96583,0.83333,0.92227,0.71753,0.79405,0.78623,1.48925,0.00101,0.00101,0.00101
52,2424.12,0.59078,0.52868,1.14019,0.98805,1,0.995,0.84061,0.61144,0.43081,1.28701,0.0009902,0.0009902,0.0009902
53,2474.22,0.55745,0.52419,1.12177,0.85606,0.99239,0.97214,0.84256,0.64799,0.7229,1.27537,0.0009704,0.0009704,0.0009704
54,2519.22,0.56422,0.52358,1.11811,0.9995,0.83333,0.955,0.80263,0.75929,0.68896,1.37846,0.0009506,0.0009506,0.0009506
55,2563.88,0.56617,0.56688,1.13487,0.83912,0.83333,0.97214,0.79407,0.68601,0.59473,1.47092,0.0009308,0.0009308,0.0009308
56,2607.53,0.5486,0.51092,1.11244,0.83906,1,0.97214,0.62869,1.17213,0.64799,2.06663,0.000911,0.000911,0.000911
57,2654.57,0.55459,0.51078,1.11965,0.77402,0.83333,0.915,0.62411,0.9971,1.03652,1.67721,0.0008912,0.0008912,0.0008912
58,2699.51,0.56085,0.51364,1.13706,0.84525,1,0.97214,0.63882,1.03233,0.89221,1.82983,0.0008714,0.0008714,0.0008714
59,2744.18,0.49257,0.45006,1.08249,0.98899,1,0.995,0.70679,0.80589,0.70717,1.50818,0.0008516,0.0008516,0.0008516
60,2789.73,0.54046,0.47636,1.10335,0.9869,1,0.995,0.75507,0.70691,0.62543,1.52008,0.0008318,0.0008318,0.0008318
61,2837.36,0.51534,0.47607,1.10334,0.70179,0.83333,0.76609,0.56009,1.11906,0.81449,2.05983,0.000812,0.000812,0.000812
62,2885.45,0.53043,0.48128,1.08361,0.99306,1,0.995,0.83029,0.56303,0.53574,1.25265,0.0007922,0.0007922,0.0007922
63,2930.93,0.52716,0.48402,1.09726,1,0.99206,0.995,0.84176,0.64542,0.52584,1.25482,0.0007724,0.0007724,0.0007724
64,2977.38,0.50903,0.46351,1.09142,0.83902,1,0.97214,0.90525,0.49288,0.50612,1.08761,0.0007526,0.0007526,0.0007526
65,3021.72,0.5069,0.46153,1.08213,0.84118,1,0.97214,0.77858,0.53519,0.69882,1.14516,0.0007328,0.0007328,0.0007328
66,3066.96,0.47384,0.46124,1.06379,0.99128,1,0.995,0.88355,0.44094,0.44694,1.13169,0.000713,0.000713,0.000713
67,3113.34,0.48066,0.44221,1.08037,0.99132,1,0.995,0.76221,0.83763,0.47902,1.59277,0.0006932,0.0006932,0.0006932
68,3158.07,0.47563,0.45205,1.06257,0.99007,1,0.995,0.79066,0.7901,0.41522,1.47371,0.0006734,0.0006734,0.0006734
69,3203.25,0.49429,0.45763,1.09182,0.98474,1,0.995,0.78888,0.93539,0.51884,1.64254,0.0006536,0.0006536,0.0006536
70,3248.42,0.48092,0.44431,1.05446,0.9842,1,0.995,0.72927,0.75816,0.5866,1.60492,0.0006338,0.0006338,0.0006338
71,3293.64,0.47514,0.43075,1.06666,0.98403,1,0.995,0.78635,0.65989,0.63947,1.37839,0.000614,0.000614,0.000614
72,3339.28,0.4571,0.4229,1.05182,0.98937,1,0.995,0.86235,0.60919,0.52699,1.29581,0.0005942,0.0005942,0.0005942
73,3384.19,0.47121,0.42171,1.04248,0.99034,1,0.995,0.91772,0.42583,0.43203,1.11007,0.0005744,0.0005744,0.0005744
74,3429.56,0.43568,0.39955,1.04156,0.98699,1,0.995,0.89115,0.54919,0.35052,1.29138,0.0005546,0.0005546,0.0005546
75,3475.13,0.42151,0.38238,1.01407,0.99017,1,0.995,0.84084,0.60424,0.36791,1.43595,0.0005348,0.0005348,0.0005348
76,3522.49,0.42559,0.40837,1.03732,0.99212,1,0.995,0.78001,0.68153,0.48749,1.63756,0.000515,0.000515,0.000515
77,3579.81,0.43661,0.39451,1.03931,0.99232,1,0.995,0.88413,0.50115,0.3073,1.2935,0.0004952,0.0004952,0.0004952
78,3625.25,0.42195,0.39691,1.04163,0.99265,1,0.995,0.88955,0.48228,0.38806,1.15131,0.0004754,0.0004754,0.0004754
79,3671.09,0.4182,0.39178,1.05168,0.99209,1,0.995,0.89458,0.53875,0.33408,1.30821,0.0004556,0.0004556,0.0004556
80,3715.9,0.4338,0.3977,1.05915,0.99219,1,0.995,0.88956,0.50213,0.37432,1.17045,0.0004358,0.0004358,0.0004358
81,3760.89,0.41593,0.4059,1.04605,0.99206,1,0.995,0.89972,0.4749,0.33515,1.12591,0.000416,0.000416,0.000416
82,3806.03,0.41364,0.38317,1.01832,0.99157,1,0.995,0.93899,0.41125,0.31368,1.03332,0.0003962,0.0003962,0.0003962
83,3851.58,0.41718,0.38854,1.04454,0.99138,1,0.995,0.95892,0.33992,0.25329,0.97419,0.0003764,0.0003764,0.0003764
84,3896,0.38077,0.37411,1.00355,0.99206,1,0.995,0.95883,0.34114,0.23352,0.98766,0.0003566,0.0003566,0.0003566
85,3940.35,0.41084,0.38128,1.03639,0.99217,1,0.995,0.9178,0.43275,0.31286,1.1092,0.0003368,0.0003368,0.0003368
86,3983.98,0.3743,0.37958,1.01975,0.99242,1,0.995,0.87297,0.51813,0.31784,1.37485,0.000317,0.000317,0.000317
87,4027.19,0.3759,0.35717,1.00863,0.99216,1,0.995,0.86655,0.53019,0.32231,1.39631,0.0002972,0.0002972,0.0002972
88,4071.43,0.40024,0.36969,1.01304,0.99204,1,0.995,0.90222,0.48817,0.28621,1.30226,0.0002774,0.0002774,0.0002774
89,4115.16,0.37268,0.36337,1.01446,0.99206,1,0.995,0.9204,0.41444,0.30725,1.08348,0.0002576,0.0002576,0.0002576
90,4158.52,0.38611,0.35344,1.02034,0.9918,1,0.995,0.96077,0.36942,0.23504,1.03638,0.0002378,0.0002378,0.0002378
91,4201.52,0.2412,0.29365,0.94458,0.99142,1,0.995,0.95964,0.38768,0.24906,1.02489,0.000218,0.000218,0.000218
92,4245.12,0.23102,0.24632,0.93505,0.99111,1,0.995,0.92439,0.38676,0.27076,1.02167,0.0001982,0.0001982,0.0001982
93,4290.93,0.21787,0.22409,0.92437,0.99015,1,0.995,0.93769,0.36659,0.30414,1.03573,0.0001784,0.0001784,0.0001784
94,4341.64,0.21413,0.21916,0.91575,0.98943,1,0.995,0.9162,0.36011,0.3313,1.05605,0.0001586,0.0001586,0.0001586
